relative_path,label,label_name,source_dataset,source_id,source_class,source_url,sample_rate,license,ood_reason
no_mosquito/esc50_airplane_1-11687-A-47.wav,0,no_mosquito,ESC-50,1-11687-A-47.wav,airplane,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/1-11687-A-47.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_airplane_2-105270-A-47.wav,0,no_mosquito,ESC-50,2-105270-A-47.wav,airplane,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/2-105270-A-47.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_airplane_3-115387-A-47.wav,0,no_mosquito,ESC-50,3-115387-A-47.wav,airplane,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/3-115387-A-47.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_airplane_4-161099-A-47.wav,0,no_mosquito,ESC-50,4-161099-A-47.wav,airplane,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/4-161099-A-47.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_airplane_5-215445-A-47.wav,0,no_mosquito,ESC-50,5-215445-A-47.wav,airplane,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/5-215445-A-47.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_car_horn_1-17124-A-43.wav,0,no_mosquito,ESC-50,1-17124-A-43.wav,car_horn,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/1-17124-A-43.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_car_horn_2-100648-A-43.wav,0,no_mosquito,ESC-50,2-100648-A-43.wav,car_horn,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/2-100648-A-43.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_car_horn_3-145577-A-43.wav,0,no_mosquito,ESC-50,3-145577-A-43.wav,car_horn,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/3-145577-A-43.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_car_horn_4-175845-A-43.wav,0,no_mosquito,ESC-50,4-175845-A-43.wav,car_horn,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/4-175845-A-43.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_car_horn_5-179860-A-43.wav,0,no_mosquito,ESC-50,5-179860-A-43.wav,car_horn,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/5-179860-A-43.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_church_bells_1-13571-A-46.wav,0,no_mosquito,ESC-50,1-13571-A-46.wav,church_bells,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/1-13571-A-46.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_church_bells_2-56926-A-46.wav,0,no_mosquito,ESC-50,2-56926-A-46.wav,church_bells,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/2-56926-A-46.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_church_bells_3-111102-A-46.wav,0,no_mosquito,ESC-50,3-111102-A-46.wav,church_bells,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/3-111102-A-46.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_church_bells_4-125825-A-46.wav,0,no_mosquito,ESC-50,4-125825-A-46.wav,church_bells,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/4-125825-A-46.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_church_bells_5-179294-A-46.wav,0,no_mosquito,ESC-50,5-179294-A-46.wav,church_bells,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/5-179294-A-46.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_coughing_1-19111-A-24.wav,0,no_mosquito,ESC-50,1-19111-A-24.wav,coughing,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/1-19111-A-24.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_coughing_2-108017-A-24.wav,0,no_mosquito,ESC-50,2-108017-A-24.wav,coughing,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/2-108017-A-24.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_coughing_3-125418-A-24.wav,0,no_mosquito,ESC-50,3-125418-A-24.wav,coughing,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/3-125418-A-24.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_coughing_4-152995-A-24.wav,0,no_mosquito,ESC-50,4-152995-A-24.wav,coughing,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/4-152995-A-24.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_coughing_5-178997-A-24.wav,0,no_mosquito,ESC-50,5-178997-A-24.wav,coughing,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/5-178997-A-24.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_crickets_1-57316-A-13.wav,0,no_mosquito,ESC-50,1-57316-A-13.wav,crickets,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/1-57316-A-13.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
no_mosquito/esc50_crickets_2-106019-A-13.wav,0,no_mosquito,ESC-50,2-106019-A-13.wav,crickets,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/audio/2-106019-A-13.wav,44100,CC BY-NC,external environmental recording; realistic false-alarm probe
